omop_id,biolink_id
81611,HP:0002253
81623,UMLS:C0151511
81634,UMLS:C0425777
81636,UMLS:C0157123
81659,UMLS:C0409756
81660,MONDO:0005663
81665,MONDO:0003940
81670,HP:0003468
81685,UMLS:C0270094
81695,UMLS:C0272881
81696,UMLS:C0159641
81705,UMLS:C0272842
81707,UMLS:C0347815
81708,UMLS:C0159932
81711,UMLS:C0410341
81713,UMLS:C0272880
81721,UMLS:C0273364
81723,UMLS:C0432769
81757,UMLS:C0274039
81763,UMLS:C0161736
81878,MONDO:8000018
81893,MONDO:0005101
81902,MONDO:0005247
81923,UMLS:C0405013
81930,MONDO:0001429
81931,SNOMEDCT:33339001
81937,UMLS:C0409757
81939,HP:0031869
81942,UMLS:C0158319
81943,SNOMEDCT:49922003
81945,UMLS:C0158186
81948,UMLS:C0158481
81983,HP:0012095
81984,SNOMEDCT:209410007
81987,UMLS:C0160574
81988,UMLS:C0434411
81989,UMLS:C0160594
132253,SNOMEDCT:91566005
132258,UMLS:C1304861
132277,UMLS:C0154116
132333,MONDO:0002240
132342,MONDO:0005638
132344,SNOMEDCT:266418006
132356,MONDO:0044992
132391,UMLS:C0263056
132392,MONDO:0018181
132393,SNOMEDCT:421076008
132397,SNOMEDCT:76545008
132412,UMLS:C0152089
132414,UMLS:C0264045
132416,UMLS:C0158516
132420,UMLS:C0158654
132446,MONDO:0005093
132449,UMLS:C0159034
132466,UMLS:C0160108
132482,UMLS:C0160842
132483,UMLS:C0273862
132489,SNOMEDCT:29673001
132491,UMLS:C0160934
132494,UMLS:C0562098
132495,UMLS:C0433238
132542,UMLS:C0014744
132553,MONDO:0005791
132565,UMLS:C1299312
132570,UMLS:C0153826
132572,UMLS:C0153888
132573,MONDO:0021520
132579,MONDO:0006982
132583,UMLS:C0342165
132584,SNOMEDCT:190305000
132617,MONDO:0001167
132643,MONDO:0001232
132685,UMLS:C0341947
132702,MONDO:0006545
132703,MONDO:0006572
132704,MONDO:0006571
132706,MONDO:0002884
132707,MONDO:0022799
132718,UMLS:C0264042
